,F_val
32,"[('223.7.30.181', 1016), ('122.24.159.76', 793), ('140.169.207.14', 728), ('141.183.211.149', 722), ('244.199.180.7', 569), ('208.181.140.212', 472), ('16.206.36.51', 421), ('100.208.231.95', 421), ('148.27.137.16', 416), ('149.74.8.230', 410), ('231.23.54.51', 345), ('135.214.201.41', 342), ('44.222.85.145', 338), ('52.135.59.93', 302), ('101.81.106.52', 258), ('30.214.172.153', 256), ('218.225.83.96', 253), ('16.206.36.135', 237), ('73.155.112.250', 231), ('140.158.138.53', 228)]"
33,"[('223.7.30.181', 1008), ('141.183.211.149', 765), ('122.24.159.76', 714), ('16.206.36.51', 598), ('244.199.180.7', 474), ('33.216.243.115', 422), ('208.181.140.212', 406), ('231.23.54.51', 376), ('140.169.207.14', 372), ('16.206.36.147', 319), ('135.214.201.41', 311), ('100.208.231.95', 303), ('210.61.168.243', 296), ('16.206.36.135', 275), ('16.206.36.14', 274), ('218.225.83.96', 253), ('218.225.83.114', 242), ('140.158.138.53', 227), ('237.42.71.26', 216), ('135.238.185.13', 216)]"
34,"[('223.7.30.181', 1008), ('141.183.211.149', 765), ('100.208.231.95', 616), ('135.214.201.51', 596), ('244.199.180.7', 555), ('16.206.36.147', 454), ('101.81.106.52', 454), ('149.74.8.230', 437), ('33.216.243.115', 422), ('208.181.140.212', 412), ('16.236.65.188', 377), ('140.169.207.14', 364), ('116.102.106.18', 351), ('231.23.54.51', 346), ('16.206.36.46', 339), ('210.61.168.243', 317), ('30.214.172.153', 278), ('156.149.134.77', 252), ('218.225.83.114', 242), ('135.214.201.41', 240)]"
35,"[('223.7.30.181', 959), ('141.183.211.149', 771), ('33.242.250.28', 720), ('244.199.180.7', 632), ('135.214.201.51', 596), ('16.206.36.147', 545), ('101.81.106.52', 447), ('149.74.8.230', 437), ('100.208.231.95', 391), ('224.134.233.62', 387), ('116.102.106.18', 368), ('140.169.207.14', 358), ('231.23.54.51', 344), ('16.206.36.46', 338), ('210.61.168.243', 302), ('119.142.150.231', 269), ('208.181.140.212', 256), ('73.155.112.250', 254), ('16.206.36.51', 229), ('210.61.112.210', 226)]"
36,"[('141.183.211.149', 949), ('223.7.30.181', 872), ('33.242.250.28', 732), ('149.74.8.230', 571), ('244.199.180.7', 563), ('16.206.36.147', 559), ('218.225.83.114', 491), ('224.134.233.62', 466), ('231.23.54.51', 381), ('210.61.168.243', 375), ('16.206.36.51', 350), ('16.206.36.46', 344), ('100.208.231.95', 341), ('119.142.150.231', 334), ('16.236.65.188', 329), ('124.117.15.38', 223), ('140.158.138.53', 220), ('30.214.172.229', 208), ('16.206.36.57', 203), ('218.225.83.191', 199)]"
37,"[('141.183.211.149', 1124), ('223.7.30.181', 992), ('197.202.25.99', 854), ('244.199.180.7', 620), ('100.208.231.95', 606), ('33.242.250.28', 605), ('149.74.8.230', 571), ('16.206.36.147', 512), ('218.225.83.114', 491), ('101.81.106.52', 483), ('210.61.168.243', 460), ('224.134.233.62', 455), ('116.102.106.18', 363), ('124.117.15.38', 362), ('16.236.65.188', 361), ('16.206.36.46', 361), ('231.23.54.51', 321), ('125.20.145.94', 310), ('98.143.45.216', 292), ('119.142.150.231', 253)]"
38,"[('223.7.30.181', 1174), ('141.183.211.149', 1023), ('197.202.25.99', 854), ('33.242.250.28', 719), ('210.61.168.243', 656), ('100.208.231.95', 598), ('244.199.180.7', 593), ('16.206.36.147', 550), ('16.206.36.57', 510), ('33.216.243.115', 490), ('224.134.233.62', 405), ('124.117.15.38', 318), ('101.81.106.52', 299), ('73.155.112.250', 293), ('98.143.45.216', 291), ('231.23.54.51', 280), ('156.149.134.77', 252), ('92.82.34.197', 220), ('135.214.201.32', 207), ('116.102.106.18', 200)]"
39,"[('223.7.30.181', 1209), ('16.206.36.57', 916), ('141.183.211.149', 793), ('92.82.34.197', 702), ('16.206.36.147', 594), ('244.199.180.7', 547), ('100.208.231.95', 514), ('33.216.243.115', 490), ('210.61.168.243', 362), ('16.236.65.188', 359), ('149.164.124.168', 357), ('116.102.106.18', 357), ('231.23.54.51', 345), ('124.117.15.38', 284), ('44.84.85.50', 282), ('197.43.153.90', 264), ('101.81.106.52', 252), ('210.61.112.210', 224), ('112.80.112.66', 218), ('210.39.47.56', 206)]"
40,"[('141.183.211.149', 1259), ('223.7.30.181', 1215), ('16.206.36.57', 1125), ('92.82.34.197', 972), ('16.206.36.147', 549), ('244.199.180.7', 543), ('44.84.85.50', 426), ('112.80.112.66', 396), ('124.117.15.38', 373), ('116.102.106.18', 357), ('16.236.65.188', 356), ('231.23.54.51', 354), ('98.143.45.216', 322), ('149.164.124.168', 288), ('52.135.59.93', 287), ('197.43.153.90', 264), ('100.208.231.95', 259), ('101.81.106.52', 252), ('140.158.138.53', 219), ('210.61.112.210', 218)]"
41,"[('141.183.211.149', 1345), ('223.7.30.181', 1109), ('16.206.36.57', 1017), ('92.82.34.197', 920), ('33.216.243.115', 537), ('140.169.207.45', 520), ('16.206.36.147', 447), ('244.199.180.7', 434), ('100.208.231.95', 343), ('73.155.112.250', 318), ('33.189.177.254', 305), ('231.23.54.51', 294), ('52.135.59.93', 287), ('44.84.85.50', 276), ('131.174.243.19', 265), ('16.183.130.14', 233), ('112.80.112.66', 232), ('140.158.138.53', 219), ('30.214.172.229', 211), ('147.253.192.77', 205)]"
42,"[('223.7.30.181', 1059), ('141.183.211.149', 853), ('92.82.34.197', 768), ('104.53.132.144', 725), ('16.206.36.57', 706), ('100.208.231.95', 684), ('122.24.173.150', 647), ('33.189.177.254', 595), ('33.216.243.115', 537), ('140.169.207.45', 520), ('101.81.106.52', 448), ('248.199.202.81', 432), ('244.199.180.7', 417), ('16.236.65.188', 358), ('16.206.36.147', 355), ('30.214.172.229', 344), ('52.135.59.93', 339), ('124.117.15.38', 310), ('131.174.243.19', 292), ('116.102.106.18', 283)]"
43,"[('223.7.30.181', 1024), ('141.183.211.149', 1005), ('52.135.59.93', 700), ('122.24.173.150', 647), ('104.53.132.144', 631), ('244.199.180.7', 608), ('92.82.34.197', 584), ('100.208.231.95', 513), ('140.169.207.45', 453), ('101.81.106.52', 448), ('16.236.65.189', 371), ('16.206.36.147', 340), ('16.206.36.18', 305), ('33.216.243.115', 300), ('33.189.177.254', 292), ('248.199.202.81', 258), ('124.117.15.38', 257), ('16.183.130.14', 243), ('16.206.36.135', 239), ('135.214.201.51', 235)]"
